iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,3.306779904433796,5.6438561897747235,0.8001930506345758,33.88,3.8534336474848114,3.306779904433796
1,3.306779904433796,5.6438561897747235,0.8057639044395373,33.88,3.8534336474848114,3.306779904433796
2,3.306779904433796,5.6438561897747235,0.8244716199771813,33.88,3.8534336474848114,3.306779904433796
3,3.306779904433796,5.6438561897747235,0.8311374616873085,33.88,3.8534336474848114,3.306779904433796
4,3.306779904433796,5.6438561897747235,0.8203221523135289,33.88,3.8534336474848114,3.306779904433796
