iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,3.306779904433796,5.6438561897747235,1.045362018872832,36.88,1.5020693977289377,3.306779904433796
1,3.306779904433796,5.6438561897747235,1.0723270843888406,36.88,1.5020693977289377,3.306779904433796
2,3.306779904433796,5.6438561897747235,1.1199570193770385,36.88,1.5020693977289377,3.306779904433796
3,3.306779904433796,5.6438561897747235,1.094402762765255,36.88,1.5020693977289377,3.306779904433796
4,3.306779904433796,5.6438561897747235,1.0674376972492468,36.88,1.5020693977289377,3.306779904433796
