iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,1.4386219577577657,4.832741560102693,0.05998609239097752,26.969373621423678,0.0,4.832741560102693
1,0.9983263608803601,4.012484792969212,0.03095098202440119,23.538184358687364,0.0,4.012484792969212
2,0.4175651590204602,3.2914966130769714,0.04444402502733061,22.587260458458044,0.0,3.2914966130769714
3,0.09944987485773135,2.466678519776245,0.003831743315649727,11.273379018547551,0.0,2.466678519776245
4,0.05591777765415369,1.279118266710108,0.0019158716578248636,10.969844605807527,0.0,1.279118266710108
