,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,1.2222764043671077,4.765064174339701,0.03306077488341441,27.863070489713305,0.24756839629312566,4.765064174339701
1,0.7252748639926346,3.885429770006898,0.017674913844872325,21.87064922664089,0.8691854312741769,3.885429770006898
2,0.4064880512662747,3.2874414027511074,0.02479558116256081,18.752955225789577,0.24756839629312566,3.2874414027511074
3,0.35071977860211634,2.6929818453312686,0.017129832250425872,13.214619986038752,0.0,2.6929818453312686
4,-0.015996717779655542,2.348953737478538,0.034259664500851744,10.880231311179383,0.0,2.348953737478538
,no_query,no_query,no_query,no_query,no_query,no_query
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,3.306779904433796,5.6438561897747235,0.8001930506345758,33.88,3.8534336474848114,3.306779904433796
1,3.306779904433796,5.6438561897747235,0.8057639044395373,33.88,3.8534336474848114,3.306779904433796
2,3.306779904433796,5.6438561897747235,0.8244716199771813,33.88,3.8534336474848114,3.306779904433796
3,3.306779904433796,5.6438561897747235,0.8311374616873085,33.88,3.8534336474848114,3.306779904433796
4,3.306779904433796,5.6438561897747235,0.8203221523135289,33.88,3.8534336474848114,3.306779904433796
