,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,5.298317366548037,0.0,25.59,0.0,5.298317366548037
1,0.0,5.298317366548037,0.0,25.59,0.0,5.298317366548037
2,0.0,5.298317366548035,-0.06413158361008342,25.59,0.0,5.298317366548035
3,0.0,5.298317366548035,0.0,25.59,0.0,5.298317366548035
4,0.0,5.298317366548036,0.0,25.59,0.0,5.298317366548036
,no_query,no_query,no_query,no_query,no_query,no_query
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,7.643856189774724,0.0,25.59,0.0,0.0
1,0.0,7.643856189774724,-0.052375501285231635,25.59,0.0,0.0
2,0.0,7.643856189774724,0.0,25.59,0.0,0.0
3,0.0,7.643856189774724,0.0,25.59,0.0,0.0
4,0.0,7.643856189774724,0.0,25.59,0.0,0.0
,random,random,random,random,random,random
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,5.298317366548037,0.0,25.59,0.0,0.0
1,0.0,5.298317366548037,0.08668858740576452,25.59,0.0,0.0
2,0.0,5.298317366548035,-0.13116375227259894,25.59,0.0,0.0
3,0.0,5.298317366548035,0.0,25.59,0.0,0.0
4,0.0,5.298317366548036,0.0,25.59,0.0,0.0
,greedy_regret,greedy_regret,greedy_regret,greedy_regret,greedy_regret,greedy_regret
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,5.298317366548037,0.0,25.59,0.0,-1.3600232051658167e-17
1,0.0,5.298317366548037,0.0,25.59,0.0,-1.3600232051658167e-17
2,0.0,5.298317366548035,0.0,25.59,0.0,-1.3600232051658164e-17
3,0.0,5.298317366548035,0.0,25.59,0.0,-1.3600232051658164e-17
4,0.0,5.298317366548036,0.0,25.59,0.0,-1.3600232051658163e-17
