iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,3.9120230054281455,0.0,37.0,0.0,-8.881784197001263e-18
1,0.0,3.9120230054281455,0.0,37.0,0.0,-8.881784197001262e-18
2,0.0,3.9120230054281455,0.0,37.0,0.0,-8.881784197001263e-18
3,0.0,3.9120230054281455,0.0,37.0,0.0,-8.881784197001265e-18
4,0.0,3.9120230054281455,0.0,37.0,0.0,-8.881784197001263e-18
