,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,5.298317366548037,0.0,27.230000000000004,0.0,5.298317366548037
1,0.0,5.298317366548037,0.0,27.230000000000004,0.0,5.298317366548037
2,0.0,5.298317366548035,0.0,27.230000000000004,0.0,5.298317366548035
3,0.0,5.298317366548035,0.0,27.230000000000004,0.0,5.298317366548035
4,0.0,5.298317366548037,0.0,27.230000000000004,0.0,5.298317366548037
,no_query,no_query,no_query,no_query,no_query,no_query
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,7.643856189774724,0.0,27.230000000000004,0.0,0.0
1,0.0,7.643856189774724,0.0,27.230000000000004,0.0,0.0
2,0.0,7.643856189774724,0.0,27.230000000000004,0.0,0.0
3,0.0,7.643856189774724,0.0,27.230000000000004,0.0,0.0
4,0.0,7.643856189774724,0.0,27.230000000000004,0.0,0.0
,random,random,random,random,random,random
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,5.298317366548037,0.0,27.230000000000004,0.0,0.0
1,0.0,5.298317366548037,0.0,27.230000000000004,0.0,0.0
2,0.0,5.298317366548035,0.0,27.230000000000004,0.0,0.0
3,0.0,5.298317366548035,0.0,27.230000000000004,0.0,0.0
4,0.0,5.298317366548037,0.0,27.230000000000004,0.0,0.0
,greedy_regret,greedy_regret,greedy_regret,greedy_regret,greedy_regret,greedy_regret
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,5.298317366548037,0.0,27.230000000000004,0.0,8.326672684688675e-18
1,0.0,5.298317366548037,0.0,27.230000000000004,0.0,8.326672684688675e-18
2,0.0,5.298317366548035,0.0,27.230000000000004,0.0,8.326672684688675e-18
3,0.0,5.298317366548035,0.0,27.230000000000004,0.0,8.326672684688672e-18
4,0.0,5.298317366548037,0.0,27.230000000000004,0.0,8.326672684688674e-18
