,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy,greedy_entropy
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,5.298317366548037,0.0,31.805,0.0,5.298317366548037
1,0.0,5.298317366548037,0.0,31.805,0.0,5.298317366548037
2,0.0,5.298317366548035,0.04657146957610481,31.805,0.0,5.298317366548035
3,0.0,5.298317366548035,0.0,31.805,0.0,5.298317366548035
4,0.0,5.298317366548035,0.0,31.805,0.0,5.298317366548035
,no_query,no_query,no_query,no_query,no_query,no_query
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,7.643856189774724,0.0,31.805,0.0,0.0
1,0.0,7.643856189774724,-0.14601808741128539,31.805,0.0,0.0
2,0.0,7.643856189774724,0.0,31.805,0.0,0.0
3,0.0,7.643856189774724,0.0,31.805,0.0,0.0
4,0.0,7.643856189774724,-0.08041576610122725,31.805,0.0,0.0
,random,random,random,random,random,random
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,5.298317366548037,0.0,31.805,0.0,0.0
1,0.0,5.298317366548037,0.011551212628591323,31.805,0.0,0.0
2,0.0,5.298317366548035,0.13286669292556597,31.805,0.0,0.0
3,0.0,5.298317366548035,0.0,31.805,0.0,0.0
4,0.0,5.298317366548035,0.0,31.805,0.0,0.0
,greedy_regret,greedy_regret,greedy_regret,greedy_regret,greedy_regret,greedy_regret
iteration,post_exp_regret,post_entropy,test_regret,norm post_avg-true,post_regret,perf_measure
0,0.0,5.298317366548037,0.0,31.805,0.0,6.106226635438363e-18
1,0.0,5.298317366548037,0.0,31.805,0.0,6.1062266354383595e-18
2,0.0,5.298317366548035,0.0,31.805,0.0,6.106226635438357e-18
3,0.0,5.298317366548035,0.0,31.805,0.0,6.106226635438356e-18
4,0.0,5.298317366548035,0.0,31.805,0.0,6.106226635438355e-18
